image		Red		Green		Blue		Black		Robot
		x	y	x	y	x	y	x	y	x	y
100538	300	350	330	182	260	270	150	250	
100838	170	110	330	182	260	270	150	250
101019	170	110	330	182	260	270	420	560
101206	170	110	330	182	010	470	420	560
101407	170	110	090	290	010	470	420	560
101611	300	540	090	290	010	470	420	560
101923	300	540	090	290	010	470	350	020
102050	300	540	090	290	440	040	350	020
102654	300	540	210	060	440	040	350	020
102851	520	130	210	060	440	040	350	020
103030	520	130	210	060	440	040	270	300
103158	520	130	210	060	275	460	270	300
103350	520	130	430	300	275	460	270	300
103658	440	470	430	300	275	460	270	300

